city,state,city_geoid,LAT,LON,nearest_bg_geoid,walkability_index
Mount Aetna CDP,MD,240430113021,4807822.683094727,-8639813.812816476,240430113021,3.166666667
Mountain Lake Park town,MD,240230007004,4779135.503007357,-8836658.17595488,,
Mount Airy town,MD,240135130012,4775486.132505842,-8588722.508002507,240135130012,4.333333333
Mount Briar CDP,MD,240430115023,4785265.804277767,-8648115.79780086,,
Mount Lena CDP,MD,240430113022,4801345.059956437,-8640829.380530985,240430113022,5.666666667
Mount Rainier city,MD,240338047001,4713418.640108456,-8567657.632079186,240338047001,14.66666667
Mount Savage CDP,MD,240010015032,4821962.628179498,-8780528.884946076,240010015032,5.166666667
Mount Vernon CDP,MD,240399301023,4613323.38403504,-8436381.896171402,,
Myersville town,MD,240217528022,4795023.845735186,-8635204.629300183,240217528022,7.5
Nanticoke CDP,MD,240450108004,4616998.549223917,-8447699.1922029,240450108004,4.666666667
Nanticoke Acres CDP,MD,240450108004,4615918.941531969,-8449799.568355186,240450108004,4.666666667
National CDP,MD,240010019001,4809707.933069564,-8787610.029074928,240010019001,6.333333333
National Harbor CDP,MD,240338014041,4690668.666696959,-8572504.037430363,240338014041,16.16666667
Naval Academy CDP,MD,240037067001,4719492.245440988,-8514007.20349137,240037067001,14.5
Newark CDP,MD,240479512001,4617370.16460492,-8381092.844679107,240479512001,3.666666667
New Carrollton city,MD,240338036101,4716744.262706441,-8557965.934571741,240338036101,16.83333333
New Market town,MD,240217518013,4777895.228072811,-8602038.99076916,240217518013,4.0
New Windsor town,MD,240135110001,4799745.616244726,-8582638.897830654,240135110001,7.666666667
Nikep CDP,MD,240010021001,4800989.750322383,-8793987.077424511,240010021001,10.5
North Beach town,MD,240098604041,4679893.308424471,-8519781.568117796,,
North Bethesda CDP,MD,240317012221,4726937.492633361,-8584996.533326164,,
North Brentwood town,MD,240338046002,4713768.586517089,-8566117.41560457,240338046002,17.33333333
North Chevy Chase village,MD,240317051001,4721978.830082781,-8579854.574726932,240317051001,11.5
North East town,MD,240150309031,4809145.701869648,-8453786.364598459,240150309031,16.5
